"particle_count", "avg_time_taken"
"2", "0.00649266162222223"
"3", "0.0106293167"
"4", "0.0181187111388889"
"5", "0.0215252786944444"
"6", "0.0272559003333333"
"7", "0.0308423559555555"
"8", "0.0315046902833333"
"9", "0.0487509981333333"
"10", "0.0566571034444445"
"20", "0.0997128547166667"
"30", "0.232935537372222"
"40", "0.300680075744444"
"50", "0.419900933983333"
"60", "0.486728120555555"
"70", "0.731188393161111"
"80", "0.726926744455555"
"90", "0.943919133411111"
"100", "1.27516779348333"
"200", "3.0912576477"
"300", "5.7956209861"
"400", "8.97507072381667"
