"particle_count", "avg_percent_of_real_optimal"
"2", "847.321835561892"
"3", "807.811001578221"
"4", "781.943749100602"
"5", "771.684140365209"
"6", "751.916445307161"
"7", "718.594068531599"
"8", "713.283966647421"
"9", "696.202964878125"
"10", "679.106075941267"
"20", "585.451474852892"
"30", "547.546597391774"
"40", "508.922033122068"
"50", "493.300045549413"
"60", "463.472460707199"
"70", "456.857174225686"
"80", "459.58993916843"
"90", "444.205719377062"
"100", "438.205109726726"
"200", "381.876057920045"
"300", "354.592553278736"
"400", "286.655088600826"
